filter_name,type,structure,cutoff,order,signal,MAE
butter,q24,DF1,1000,2,impulse,3.51168185e-06
butter,q24,DF1,1000,2,rand,1.77616698e-06
butter,q12,DF1,1000,2,impulse,1.46030236e-02
butter,q12,DF1,1000,2,rand,6.01477706e-03
butter,q24,DF2,1000,2,impulse,3.41638698e-09
butter,q24,DF2,1000,2,rand,6.52917322e-07
butter,q12,DF2,1000,2,impulse,3.78223896e-06
butter,q12,DF2,1000,2,rand,9.49796639e-02
butter,q24,TDF2,1000,2,impulse,3.51168185e-06
butter,q24,TDF2,1000,2,rand,1.57109415e-06
butter,q12,TDF2,1000,2,impulse,1.46030236e-02
butter,q12,TDF2,1000,2,rand,6.32666099e-03
butter,q24,DF1,2000,2,impulse,1.12937634e-06
butter,q24,DF1,2000,2,rand,5.04946673e-07
butter,q12,DF1,2000,2,impulse,4.86840988e-03
butter,q12,DF1,2000,2,rand,1.97086494e-03
butter,q24,DF2,2000,2,impulse,6.74536859e-10
butter,q24,DF2,2000,2,rand,6.64293894e-08
butter,q12,DF2,2000,2,impulse,5.06611801e-06
butter,q12,DF2,2000,2,rand,4.66698923e-02
butter,q24,TDF2,2000,2,impulse,1.12937634e-06
butter,q24,TDF2,2000,2,rand,5.19263925e-07
butter,q12,TDF2,2000,2,impulse,4.86840988e-03
butter,q12,TDF2,2000,2,rand,2.32047272e-03
butter,q24,DF1,5000,2,impulse,2.38024493e-07
butter,q24,DF1,5000,2,rand,1.72521233e-07
butter,q12,DF1,5000,2,impulse,9.75391346e-04
butter,q12,DF1,5000,2,rand,5.98723407e-04
butter,q24,DF2,5000,2,impulse,5.11182776e-10
butter,q24,DF2,5000,2,rand,1.40867739e-07
butter,q12,DF2,5000,2,impulse,1.18727507e-06
butter,q12,DF2,5000,2,rand,5.45549619e-04
butter,q24,TDF2,5000,2,impulse,2.38024493e-07
butter,q24,TDF2,5000,2,rand,2.06826983e-07
butter,q12,TDF2,5000,2,impulse,9.75391346e-04
butter,q12,TDF2,5000,2,rand,6.10243074e-04
butter,q24,DF1,1000,4,impulse,4.74289868e-04
butter,q24,DF1,1000,4,rand,1.44610889e-04
butter,q12,DF1,1000,4,impulse,3.17538625e-04
butter,q12,DF1,1000,4,rand,4.54221926e-02
butter,q24,DF2,1000,4,impulse,1.85789618e-02
butter,q24,DF2,1000,4,rand,6.53661947e-02
butter,q12,DF2,1000,4,impulse,3.17538625e-04
butter,q12,DF2,1000,4,rand,5.54840709e-02
butter,q24,TDF2,1000,4,impulse,4.74289868e-04
butter,q24,TDF2,1000,4,rand,1.25389925e-04
butter,q12,TDF2,1000,4,impulse,3.17538625e-04
butter,q12,TDF2,1000,4,rand,1.10549169e-01
butter,q24,DF1,2000,4,impulse,3.51372667e-05
butter,q24,DF1,2000,4,rand,1.28053483e-05
butter,q12,DF1,2000,4,impulse,1.42229804e-01
butter,q12,DF1,2000,4,rand,4.81936268e-02
butter,q24,DF2,2000,4,impulse,1.93413256e-08
butter,q24,DF2,2000,4,rand,3.04491498e-01
butter,q12,DF2,2000,4,impulse,1.38415432e-02
butter,q12,DF2,2000,4,rand,9.69139497e-02
butter,q24,TDF2,2000,4,impulse,3.51372667e-05
butter,q24,TDF2,2000,4,rand,1.41730256e-05
butter,q12,TDF2,2000,4,impulse,1.42229804e-01
butter,q12,TDF2,2000,4,rand,4.35984741e-02
butter,q24,DF1,5000,4,impulse,1.25114995e-06
butter,q24,DF1,5000,4,rand,6.76449898e-07
butter,q12,DF1,5000,4,impulse,4.75531932e-03
butter,q12,DF1,5000,4,rand,2.51507534e-03
butter,q24,DF2,5000,4,impulse,1.41778893e-09
butter,q24,DF2,5000,4,rand,5.14621425e-07
butter,q12,DF2,5000,4,impulse,4.95131666e-06
butter,q12,DF2,5000,4,rand,1.29423541e-01
butter,q24,TDF2,5000,4,impulse,1.25114995e-06
butter,q24,TDF2,5000,4,rand,4.02406510e-07
butter,q12,TDF2,5000,4,impulse,4.75531932e-03
butter,q12,TDF2,5000,4,rand,2.04331972e-03
butter,q24,DF1,1000,6,impulse,4.43297772e-02
butter,q24,DF1,1000,6,rand,8.35122285e-03
butter,q12,DF1,1000,6,impulse,3.61509991e-04
butter,q12,DF1,1000,6,rand,6.03012354e-02
butter,q24,DF2,1000,6,impulse,6.49845540e-04
butter,q24,DF2,1000,6,rand,7.23992106e-02
butter,q12,DF2,1000,6,impulse,3.61509991e-04
butter,q12,DF2,1000,6,rand,4.62763997e-02
butter,q24,TDF2,1000,6,impulse,4.43297772e-02
butter,q24,TDF2,1000,6,rand,9.74559225e-03
butter,q12,TDF2,1000,6,impulse,3.61509991e-04
butter,q12,TDF2,1000,6,rand,1.08989227e-01
butter,q24,DF1,2000,6,impulse,8.88029402e-04
butter,q24,DF1,2000,6,rand,2.99514927e-04
butter,q12,DF1,2000,6,impulse,3.63210259e-04
butter,q12,DF1,2000,6,rand,1.08058280e-01
butter,q24,DF2,2000,6,impulse,1.89319189e-02
butter,q24,DF2,2000,6,rand,1.24977632e-01
butter,q12,DF2,2000,6,impulse,3.63210259e-04
butter,q12,DF2,2000,6,rand,1.34087893e-01
butter,q24,TDF2,2000,6,impulse,8.88029402e-04
butter,q24,TDF2,2000,6,rand,2.12415130e-04
butter,q12,TDF2,2000,6,impulse,3.63210259e-04
butter,q12,TDF2,2000,6,rand,1.57081787e-01
butter,q24,DF1,5000,6,impulse,6.35861809e-06
butter,q24,DF1,5000,6,rand,1.97906637e-06
butter,q12,DF1,5000,6,impulse,2.61005688e-02
butter,q12,DF1,5000,6,rand,1.10867801e-02
butter,q24,DF2,5000,6,impulse,5.38088889e-09
butter,q24,DF2,5000,6,rand,2.09633696e-06
butter,q12,DF2,5000,6,impulse,1.52028516e-02
butter,q12,DF2,5000,6,rand,2.46813984e-01
butter,q24,TDF2,5000,6,impulse,6.35861809e-06
butter,q24,TDF2,5000,6,rand,2.11504265e-06
butter,q12,TDF2,5000,6,impulse,2.61005688e-02
butter,q12,TDF2,5000,6,rand,9.38980056e-03
butter,q24,DF1,1000,8,impulse,3.99816426e-04
butter,q24,DF1,1000,8,rand,6.68988356e-02
butter,q12,DF1,1000,8,impulse,3.99816426e-04
butter,q12,DF1,1000,8,rand,3.85016051e-02
butter,q24,DF2,1000,8,impulse,3.99816432e-04
butter,q24,DF2,1000,8,rand,8.38574573e-02
butter,q12,DF2,1000,8,impulse,3.99816432e-04
butter,q12,DF2,1000,8,rand,8.78093604e-02
butter,q24,TDF2,1000,8,impulse,3.99816426e-04
butter,q24,TDF2,1000,8,rand,4.66043774e-02
butter,q12,TDF2,1000,8,impulse,3.99816426e-04
butter,q12,TDF2,1000,8,rand,6.06983240e-02
butter,q24,DF1,2000,8,impulse,2.01557096e-02
butter,q24,DF1,2000,8,rand,2.75361527e-03
butter,q12,DF1,2000,8,impulse,4.02015193e-04
butter,q12,DF1,2000,8,rand,1.04768032e-01
butter,q24,DF2,2000,8,impulse,1.54167675e-03
butter,q24,DF2,2000,8,rand,1.37714669e-01
butter,q12,DF2,2000,8,impulse,4.02015193e-04
butter,q12,DF2,2000,8,rand,1.00967830e-01
butter,q24,TDF2,2000,8,impulse,2.01557096e-02
butter,q24,TDF2,2000,8,rand,2.68715511e-03
butter,q12,TDF2,2000,8,impulse,4.02015193e-04
butter,q12,TDF2,2000,8,rand,1.29090206e-01
butter,q24,DF1,5000,8,impulse,2.95928180e-05
butter,q24,DF1,5000,8,rand,6.77109161e-06
butter,q12,DF1,5000,8,impulse,7.37053694e+00
butter,q12,DF1,5000,8,rand,4.17793028e+00
butter,q24,DF2,5000,8,impulse,4.71931317e-02
butter,q24,DF2,5000,8,rand,2.78755447e-01
butter,q12,DF2,5000,8,impulse,6.80731497e-03
butter,q12,DF2,5000,8,rand,2.27452860e-01
butter,q24,TDF2,5000,8,impulse,2.95928180e-05
butter,q24,TDF2,5000,8,rand,6.92206208e-06
butter,q12,TDF2,5000,8,impulse,7.98652974e+00
butter,q12,TDF2,5000,8,rand,7.55388590e+00
cheby1,q24,DF1,1000,2,impulse,3.49458193e-06
cheby1,q24,DF1,1000,2,rand,1.05449048e-06
cheby1,q12,DF1,1000,2,impulse,1.46212312e-02
cheby1,q12,DF1,1000,2,rand,6.58005500e-03
cheby1,q24,DF2,1000,2,impulse,4.43058788e-09
cheby1,q24,DF2,1000,2,rand,9.81303689e-07
cheby1,q12,DF2,1000,2,impulse,5.42685104e-06
cheby1,q12,DF2,1000,2,rand,1.07924316e-01
cheby1,q24,TDF2,1000,2,impulse,3.49458193e-06
cheby1,q24,TDF2,1000,2,rand,1.40941771e-06
cheby1,q12,TDF2,1000,2,impulse,1.46212312e-02
cheby1,q12,TDF2,1000,2,rand,5.95024344e-03
cheby1,q24,DF1,2000,2,impulse,7.77897435e-07
cheby1,q24,DF1,2000,2,rand,4.11936174e-07
cheby1,q12,DF1,2000,2,impulse,2.93316279e-03
cheby1,q12,DF1,2000,2,rand,1.90963835e-03
cheby1,q24,DF2,2000,2,impulse,1.43010896e-09
cheby1,q24,DF2,2000,2,rand,1.95552231e-07
cheby1,q12,DF2,2000,2,impulse,5.29788262e-06
cheby1,q12,DF2,2000,2,rand,8.07018174e-03
cheby1,q24,TDF2,2000,2,impulse,7.77897435e-07
cheby1,q24,TDF2,2000,2,rand,5.38797527e-07
cheby1,q12,TDF2,2000,2,impulse,2.93316279e-03
cheby1,q12,TDF2,2000,2,rand,2.60711053e-03
cheby1,q24,DF1,5000,2,impulse,1.19895991e-07
cheby1,q24,DF1,5000,2,rand,9.13448379e-08
cheby1,q12,DF1,5000,2,impulse,4.89055425e-04
cheby1,q12,DF1,5000,2,rand,4.79972850e-04
cheby1,q24,DF2,5000,2,impulse,4.98525189e-10
cheby1,q24,DF2,5000,2,rand,7.98120925e-08
cheby1,q12,DF2,5000,2,impulse,1.19256376e-06
cheby1,q12,DF2,5000,2,rand,2.71226884e-04
cheby1,q24,TDF2,5000,2,impulse,1.19895991e-07
cheby1,q24,TDF2,5000,2,rand,9.88351018e-08
cheby1,q12,TDF2,5000,2,impulse,4.89055425e-04
cheby1,q12,TDF2,5000,2,rand,4.26817887e-04
cheby1,q24,DF1,1000,4,impulse,1.55923546e-03
cheby1,q24,DF1,1000,4,rand,4.00642255e-04
cheby1,q12,DF1,1000,4,impulse,4.00436995e-04
cheby1,q12,DF1,1000,4,rand,3.54807176e-02
cheby1,q24,DF2,1000,4,impulse,4.82147512e-03
cheby1,q24,DF2,1000,4,rand,5.53192763e-02
cheby1,q12,DF2,1000,4,impulse,4.00436995e-04
