filter_name,type,structure,cutoff,order,signal,MAE
butter,float,DF1,1000,2,impulse,1.07451784e-09
butter,float,DF1,1000,2,rand,2.25260403e-07
butter,float,DF2,1000,2,impulse,6.04183777e-10
butter,float,DF2,1000,2,rand,3.40274247e-07
butter,float,TDF2,1000,2,impulse,1.07451784e-09
butter,float,TDF2,1000,2,rand,2.50453450e-07
butter,float,CASCADE,1000,2,impulse,6.04183775e-10
butter,float,CASCADE,1000,2,rand,2.76569531e-07
butter,float,DF1,2000,2,impulse,3.09834525e-10
butter,float,DF1,2000,2,rand,1.49671948e-07
butter,float,DF2,2000,2,impulse,4.03229707e-10
butter,float,DF2,2000,2,rand,1.21349689e-07
butter,float,TDF2,2000,2,impulse,4.36142255e-10
butter,float,TDF2,2000,2,rand,1.38385025e-07
butter,float,CASCADE,2000,2,impulse,4.03229706e-10
butter,float,CASCADE,2000,2,rand,1.41557422e-07
butter,float,DF1,5000,2,impulse,9.53475153e-11
butter,float,DF1,5000,2,rand,4.13053270e-08
butter,float,DF2,5000,2,impulse,6.83566331e-11
butter,float,DF2,5000,2,rand,5.28891935e-08
butter,float,TDF2,5000,2,impulse,2.75755962e-11
butter,float,TDF2,5000,2,rand,3.47590869e-08
butter,float,CASCADE,5000,2,impulse,6.83566331e-11
butter,float,CASCADE,5000,2,rand,3.15485746e-08
butter,float,DF1,1000,4,impulse,7.96240702e-08
butter,float,DF1,1000,4,rand,5.14331942e-06
butter,float,DF2,1000,4,impulse,7.15098956e-08
butter,float,DF2,1000,4,rand,3.60166618e-05
butter,float,TDF2,1000,4,impulse,5.72855079e-08
butter,float,TDF2,1000,4,rand,1.92499228e-05
butter,float,CASCADE,1000,4,impulse,5.32980971e-08
butter,float,CASCADE,1000,4,rand,6.37718593e-06
butter,float,DF1,2000,4,impulse,3.37772630e-08
butter,float,DF1,2000,4,rand,8.63323417e-06
butter,float,DF2,2000,4,impulse,3.28810443e-08
butter,float,DF2,2000,4,rand,1.03332163e-05
butter,float,TDF2,2000,4,impulse,3.84363536e-08
butter,float,TDF2,2000,4,rand,1.21688379e-05
butter,float,CASCADE,2000,4,impulse,3.08038125e-08
butter,float,CASCADE,2000,4,rand,5.76437958e-06
butter,float,DF1,5000,4,impulse,4.93266261e-10
butter,float,DF1,5000,4,rand,2.34601739e-07
butter,float,DF2,5000,4,impulse,6.34132338e-10
butter,float,DF2,5000,4,rand,1.90609020e-07
butter,float,TDF2,5000,4,impulse,2.71722876e-10
butter,float,TDF2,5000,4,rand,2.85344277e-07
butter,float,CASCADE,5000,4,impulse,5.24259252e-10
butter,float,CASCADE,5000,4,rand,2.66080986e-07
butter,float,DF1,1000,6,impulse,3.01312896e-05
butter,float,DF1,1000,6,rand,7.44476812e-03
butter,float,DF2,1000,6,impulse,5.97100917e-05
butter,float,DF2,1000,6,rand,3.08496649e-03
butter,float,TDF2,1000,6,impulse,3.54672917e-05
butter,float,TDF2,1000,6,rand,7.37821944e-03
butter,float,CASCADE,1000,6,impulse,4.28774499e-05
butter,float,CASCADE,1000,6,rand,2.08208017e-03
butter,float,DF1,2000,6,impulse,5.62962755e-07
butter,float,DF1,2000,6,rand,1.48421415e-04
butter,float,DF2,2000,6,impulse,4.01529618e-07
butter,float,DF2,2000,6,rand,1.70092218e-04
butter,float,TDF2,2000,6,impulse,3.96058555e-07
butter,float,TDF2,2000,6,rand,1.37600711e-04
butter,float,CASCADE,2000,6,impulse,4.95867079e-07
butter,float,CASCADE,2000,6,rand,1.26738664e-04
butter,float,DF1,5000,6,impulse,1.03687804e-08
butter,float,DF1,5000,6,rand,4.45784103e-06
butter,float,DF2,5000,6,impulse,1.00242047e-08
butter,float,DF2,5000,6,rand,4.17071641e-06
butter,float,TDF2,5000,6,impulse,9.10972382e-09
butter,float,TDF2,5000,6,rand,3.15355299e-06
butter,float,CASCADE,5000,6,impulse,9.65308489e-09
butter,float,CASCADE,5000,6,rand,3.09110417e-06
butter,float,DF1,1000,8,impulse,nan
butter,float,DF1,1000,8,rand,1.03680208e+00
butter,float,DF2,1000,8,impulse,nan
butter,float,DF2,1000,8,rand,1.86329703e-01
butter,float,TDF2,1000,8,impulse,nan
butter,float,TDF2,1000,8,rand,1.13377495e+00
butter,float,CASCADE,1000,8,impulse,nan
butter,float,CASCADE,1000,8,rand,1.70308606e-01
butter,float,DF1,2000,8,impulse,8.83764152e-05
butter,float,DF1,2000,8,rand,1.95995107e-02
butter,float,DF2,2000,8,impulse,1.21136726e-04
butter,float,DF2,2000,8,rand,2.45350589e-02
butter,float,TDF2,2000,8,impulse,1.03148984e-04
butter,float,TDF2,2000,8,rand,2.88146960e-02
butter,float,CASCADE,2000,8,impulse,1.03084416e-04
butter,float,CASCADE,2000,8,rand,2.06949639e-02
butter,float,DF1,5000,8,impulse,7.00165064e-08
butter,float,DF1,5000,8,rand,2.24452501e-05
butter,float,DF2,5000,8,impulse,5.03424963e-08
butter,float,DF2,5000,8,rand,2.39100937e-05
butter,float,TDF2,5000,8,impulse,6.91929345e-08
butter,float,TDF2,5000,8,rand,1.98914647e-05
butter,float,CASCADE,5000,8,impulse,5.86284838e-08
butter,float,CASCADE,5000,8,rand,2.61691996e-05
cheby1,float,DF1,1000,2,impulse,1.63152522e-09
cheby1,float,DF1,1000,2,rand,3.50719476e-07
cheby1,float,DF2,1000,2,impulse,1.14204298e-09
cheby1,float,DF2,1000,2,rand,3.77332257e-07
cheby1,float,TDF2,1000,2,impulse,1.63152522e-09
cheby1,float,TDF2,1000,2,rand,3.52455735e-07
cheby1,float,CASCADE,1000,2,impulse,1.14204298e-09
cheby1,float,CASCADE,1000,2,rand,3.68920581e-07
cheby1,float,DF1,2000,2,impulse,1.83015622e-10
cheby1,float,DF1,2000,2,rand,1.27238303e-07
