filter_name,type,structure,cutoff,order,signal,MAE
butter,float,DF1,1000,2,impulse,1.07451784e-09
butter,float,DF1,1000,2,rand,1.10946415e-01
butter,float,DF2,1000,2,impulse,6.04183777e-10
butter,float,DF2,1000,2,rand,1.37951712e-01
butter,float,TDF2,1000,2,impulse,1.07451784e-09
butter,float,TDF2,1000,2,rand,1.47830585e-01
butter,float,DF1,2000,2,impulse,3.09834525e-10
butter,float,DF1,2000,2,rand,1.76675107e-01
butter,float,DF2,2000,2,impulse,4.03229707e-10
butter,float,DF2,2000,2,rand,2.20011023e-01
butter,float,TDF2,2000,2,impulse,4.36142255e-10
butter,float,TDF2,2000,2,rand,2.02472221e-01
butter,float,DF1,5000,2,impulse,9.53475153e-11
butter,float,DF1,5000,2,rand,2.62845938e-01
butter,float,DF2,5000,2,impulse,6.83566331e-11
butter,float,DF2,5000,2,rand,3.38358441e-01
butter,float,TDF2,5000,2,impulse,2.75755962e-11
butter,float,TDF2,5000,2,rand,2.89400220e-01
butter,float,DF1,1000,4,impulse,7.96240702e-08
butter,float,DF1,1000,4,rand,1.27901018e-01
butter,float,DF2,1000,4,impulse,7.15098956e-08
butter,float,DF2,1000,4,rand,1.68647115e-01
butter,float,TDF2,1000,4,impulse,5.72855079e-08
butter,float,TDF2,1000,4,rand,1.11882396e-01
butter,float,DF1,2000,4,impulse,3.37772630e-08
butter,float,DF1,2000,4,rand,2.33364927e-01
butter,float,DF2,2000,4,impulse,3.28810443e-08
butter,float,DF2,2000,4,rand,1.62852443e-01
butter,float,TDF2,2000,4,impulse,3.84363536e-08
butter,float,TDF2,2000,4,rand,2.21698631e-01
butter,float,DF1,5000,4,impulse,4.93266261e-10
butter,float,DF1,5000,4,rand,3.20639910e-01
butter,float,DF2,5000,4,impulse,6.34132338e-10
butter,float,DF2,5000,4,rand,2.68158192e-01
butter,float,TDF2,5000,4,impulse,2.71722876e-10
butter,float,TDF2,5000,4,rand,2.71833833e-01
butter,float,DF1,1000,6,impulse,3.01312896e-05
butter,float,DF1,1000,6,rand,1.09379204e-01
butter,float,DF2,1000,6,impulse,5.97100917e-05
butter,float,DF2,1000,6,rand,1.10900643e-01
butter,float,TDF2,1000,6,impulse,3.54672917e-05
butter,float,TDF2,1000,6,rand,7.71419007e-02
butter,float,DF1,2000,6,impulse,5.62962755e-07
butter,float,DF1,2000,6,rand,1.59316831e-01
butter,float,DF2,2000,6,impulse,4.01529618e-07
butter,float,DF2,2000,6,rand,1.70612549e-01
butter,float,TDF2,2000,6,impulse,3.96058555e-07
butter,float,TDF2,2000,6,rand,1.78574280e-01
butter,float,DF1,5000,6,impulse,1.03687804e-08
butter,float,DF1,5000,6,rand,2.54270319e-01
butter,float,DF2,5000,6,impulse,1.00242047e-08
butter,float,DF2,5000,6,rand,2.95753501e-01
butter,float,TDF2,5000,6,impulse,9.10972382e-09
butter,float,TDF2,5000,6,rand,2.52282726e-01
butter,float,DF1,1000,8,impulse,NaN
butter,float,DF1,1000,8,rand,6.26648926e-01
butter,float,DF2,1000,8,impulse,NaN
butter,float,DF2,1000,8,rand,9.53840703e-01
butter,float,TDF2,1000,8,impulse,NaN
butter,float,TDF2,1000,8,rand,1.53368595e-01
butter,float,DF1,2000,8,impulse,8.83764152e-05
butter,float,DF1,2000,8,rand,8.73276327e-02
butter,float,DF2,2000,8,impulse,1.21136726e-04
