filter_type,order,cutoff,structure,signal,dtype,MAE
butter,2,1000,DF1,impulse,float32,8.558916592263651e-10
butter,2,1000,DF1,impulse,float16,8.032141006678609e-07
butter,2,1000,DF2,impulse,float32,8.558916590525425e-10
butter,2,1000,DF2,impulse,float16,8.032141006683387e-07
butter,2,1000,TDF2,impulse,float32,8.558916592263651e-10
butter,2,1000,TDF2,impulse,float16,8.032141006678609e-07
butter,2,1000,CASCADE,impulse,float32,8.550652326623338e-10
butter,2,1000,CASCADE,impulse,float16,8.03789726229262e-07
butter,2,1000,DF1,random,float32,1.3254703712537764e-07
butter,2,1000,DF1,random,float16,0.0001440382369315513
butter,2,1000,DF2,random,float32,1.312029580488518e-07
butter,2,1000,DF2,random,float16,0.0001354335554715589
butter,2,1000,TDF2,random,float32,1.3156349567603115e-07
butter,2,1000,TDF2,random,float16,0.000141982888244172
butter,2,1000,CASCADE,random,float32,1.3122205737522139e-07
butter,2,1000,CASCADE,random,float16,0.00013413890871993947
butter,2,2000,DF1,impulse,float32,3.7690666284090855e-10
butter,2,2000,DF1,impulse,float16,1.0247801605423728e-07
butter,2,2000,DF2,impulse,float32,3.76906662824883e-10
butter,2,2000,DF2,impulse,float16,1.0247801605420088e-07
butter,2,2000,TDF2,impulse,float32,3.7690666284090855e-10
butter,2,2000,TDF2,impulse,float16,1.0247801605423728e-07
butter,2,2000,CASCADE,impulse,float32,3.7865686760742204e-10
butter,2,2000,CASCADE,impulse,float16,1.2071386272233867e-07
butter,2,2000,DF1,random,float32,1.15635862611152e-07
butter,2,2000,DF1,random,float16,3.1425238632431535e-05
butter,2,2000,DF2,random,float32,1.1659138144413244e-07
butter,2,2000,DF2,random,float16,3.125656432156359e-05
butter,2,2000,TDF2,random,float32,1.1771898367258019e-07
butter,2,2000,TDF2,random,float16,3.146560150383895e-05
butter,2,2000,CASCADE,random,float32,1.1639719521860415e-07
butter,2,2000,CASCADE,random,float16,3.4156595643842066e-05
butter,2,5000,DF1,impulse,float32,5.885840951410425e-11
butter,2,5000,DF1,impulse,float16,9.762026175872888e-08
butter,2,5000,DF2,impulse,float32,5.88584095422189e-11
butter,2,5000,DF2,impulse,float16,9.762026175868441e-08
butter,2,5000,TDF2,impulse,float32,5.885840951410425e-11
butter,2,5000,TDF2,impulse,float16,9.762026175872888e-08
butter,2,5000,CASCADE,impulse,float32,5.658282764698853e-11
butter,2,5000,CASCADE,impulse,float16,1.2918625498781318e-07
butter,2,5000,DF1,random,float32,3.0330641732131264e-08
butter,2,5000,DF1,random,float16,6.360245235323513e-05
butter,2,5000,DF2,random,float32,2.962120535521251e-08
