filter_name,type,structure,cutoff,order,time_seconds
butter,q24,DF1,1000,2,0.876000
butter,q12,DF1,1000,2,1.062000
butter,q24,DF2,1000,2,1.052000
butter,q12,DF2,1000,2,1.282000
butter,q24,TDF2,1000,2,0.782000
butter,q12,TDF2,1000,2,0.876000
butter,q24,DF1,2000,2,0.896000
butter,q12,DF1,2000,2,1.061000
butter,q24,DF2,2000,2,1.033000
butter,q12,DF2,2000,2,1.253000
butter,q24,TDF2,2000,2,0.784000
butter,q12,TDF2,2000,2,0.852000
butter,q24,DF1,5000,2,0.859000
butter,q12,DF1,5000,2,1.055000
butter,q24,DF2,5000,2,1.035000
butter,q12,DF2,5000,2,1.233000
butter,q24,TDF2,5000,2,0.777000
butter,q12,TDF2,5000,2,0.848000
butter,q24,DF1,1000,4,1.468000
butter,q12,DF1,1000,4,1.870000
butter,q24,DF2,1000,4,1.894000
butter,q12,DF2,1000,4,2.151000
butter,q24,TDF2,1000,4,1.344000
butter,q12,TDF2,1000,4,1.567000
butter,q24,DF1,2000,4,1.471000
butter,q12,DF1,2000,4,1.871000
butter,q24,DF2,2000,4,1.934000
butter,q12,DF2,2000,4,2.154000
butter,q24,TDF2,2000,4,1.345000
butter,q12,TDF2,2000,4,1.554000
butter,q24,DF1,5000,4,1.466000
butter,q12,DF1,5000,4,1.872000
butter,q24,DF2,5000,4,1.795000
butter,q12,DF2,5000,4,2.190000
butter,q24,TDF2,5000,4,1.348000
butter,q12,TDF2,5000,4,1.553000
butter,q24,DF1,1000,6,2.109000
butter,q12,DF1,1000,6,2.682000
butter,q24,DF2,1000,6,2.692000
butter,q12,DF2,1000,6,2.973000
butter,q24,TDF2,1000,6,1.952000
butter,q12,TDF2,1000,6,2.261000
butter,q24,DF1,2000,6,2.108000
butter,q12,DF1,2000,6,2.686000
butter,q24,DF2,2000,6,2.661000
butter,q12,DF2,2000,6,2.900000
butter,q24,TDF2,2000,6,1.953000
butter,q12,TDF2,2000,6,2.263000
butter,q24,DF1,5000,6,2.091000
butter,q12,DF1,5000,6,2.700000
butter,q24,DF2,5000,6,2.672000
butter,q12,DF2,5000,6,2.943000
butter,q24,TDF2,5000,6,1.955000
butter,q12,TDF2,5000,6,2.259000
butter,q24,DF1,1000,8,2.702000
butter,q12,DF1,1000,8,3.492000
butter,q24,DF2,1000,8,3.384000
butter,q12,DF2,1000,8,3.685000
butter,q24,TDF2,1000,8,2.557000
butter,q12,TDF2,1000,8,2.984000
butter,q24,DF1,2000,8,2.702000
butter,q12,DF1,2000,8,3.489000
butter,q24,DF2,2000,8,3.365000
butter,q12,DF2,2000,8,3.723000
butter,q24,TDF2,2000,8,2.573000
butter,q12,TDF2,2000,8,2.973000
butter,q24,DF1,5000,8,2.699000
butter,q12,DF1,5000,8,4.073000
butter,q24,DF2,5000,8,3.413000
butter,q12,DF2,5000,8,3.681000
butter,q24,TDF2,5000,8,2.557000
butter,q12,TDF2,5000,8,2.878000
cheby1,q24,DF1,1000,2,0.854000
cheby1,q12,DF1,1000,2,1.055000
cheby1,q24,DF2,1000,2,1.030000
cheby1,q12,DF2,1000,2,1.287000
cheby1,q24,TDF2,1000,2,0.779000
cheby1,q12,TDF2,1000,2,0.846000
cheby1,q24,DF1,2000,2,0.859000
cheby1,q12,DF1,2000,2,1.057000
cheby1,q24,DF2,2000,2,1.032000
cheby1,q12,DF2,2000,2,1.252000
cheby1,q24,TDF2,2000,2,0.779000
cheby1,q12,TDF2,2000,2,0.850000
cheby1,q24,DF1,5000,2,0.856000
cheby1,q12,DF1,5000,2,1.054000
cheby1,q24,DF2,5000,2,1.041000
cheby1,q12,DF2,5000,2,1.234000
cheby1,q24,TDF2,5000,2,0.776000
cheby1,q12,TDF2,5000,2,0.849000
cheby1,q24,DF1,1000,4,1.470000
cheby1,q12,DF1,1000,4,1.871000
cheby1,q24,DF2,1000,4,1.933000
cheby1,q12,DF2,1000,4,2.110000
cheby1,q24,TDF2,1000,4,1.342000
cheby1,q12,TDF2,1000,4,1.552000
cheby1,q24,DF1,2000,4,1.470000
cheby1,q12,DF1,2000,4,1.867000
cheby1,q24,DF2,2000,4,1.932000
cheby1,q12,DF2,2000,4,2.151000
cheby1,q24,TDF2,2000,4,1.346000
cheby1,q12,TDF2,2000,4,1.555000
cheby1,q24,DF1,5000,4,1.469000
cheby1,q12,DF1,5000,4,1.895000
cheby1,q24,DF2,5000,4,1.893000
cheby1,q12,DF2,5000,4,2.152000
cheby1,q24,TDF2,5000,4,1.344000
cheby1,q12,TDF2,5000,4,1.553000
cheby1,q24,DF1,1000,6,2.089000
cheby1,q12,DF1,1000,6,2.686000
cheby1,q24,DF2,1000,6,2.670000
cheby1,q12,DF2,1000,6,2.954000
cheby1,q24,TDF2,1000,6,1.954000
cheby1,q12,TDF2,1000,6,2.262000
cheby1,q24,DF1,2000,6,2.092000
cheby1,q12,DF1,2000,6,2.704000
cheby1,q24,DF2,2000,6,2.660000
cheby1,q12,DF2,2000,6,2.953000
cheby1,q24,TDF2,2000,6,1.957000
cheby1,q12,TDF2,2000,6,2.263000
cheby1,q24,DF1,5000,6,2.103000
cheby1,q12,DF1,5000,6,2.719000
cheby1,q24,DF2,5000,6,2.679000
cheby1,q12,DF2,5000,6,2.943000
cheby1,q24,TDF2,5000,6,1.960000
cheby1,q12,TDF2,5000,6,2.258000
cheby1,q24,DF1,1000,8,2.707000
cheby1,q12,DF1,1000,8,3.486000
cheby1,q24,DF2,1000,8,3.388000
cheby1,q12,DF2,1000,8,3.726000
cheby1,q24,TDF2,1000,8,2.561000
cheby1,q12,TDF2,1000,8,2.973000
cheby1,q24,DF1,2000,8,2.702000
cheby1,q12,DF1,2000,8,3.487000
cheby1,q24,DF2,2000,8,3.396000
cheby1,q12,DF2,2000,8,3.731000
cheby1,q24,TDF2,2000,8,2.562000
cheby1,q12,TDF2,2000,8,2.973000
cheby1,q24,DF1,5000,8,2.705000
cheby1,q12,DF1,5000,8,3.489000
cheby1,q24,DF2,5000,8,3.353000
cheby1,q12,DF2,5000,8,3.691000
cheby1,q24,TDF2,5000,8,2.561000
cheby1,q12,TDF2,5000,8,2.972000
cheby2,q24,DF1,1000,2,0.855000
cheby2,q12,DF1,1000,2,1.068000
cheby2,q24,DF2,1000,2,1.035000
cheby2,q12,DF2,1000,2,1.305000
cheby2,q24,TDF2,1000,2,0.785000
cheby2,q12,TDF2,1000,2,0.847000
cheby2,q24,DF1,2000,2,0.856000
cheby2,q12,DF1,2000,2,1.051000
cheby2,q24,DF2,2000,2,1.039000
cheby2,q12,DF2,2000,2,1.253000
cheby2,q24,TDF2,2000,2,0.780000
cheby2,q12,TDF2,2000,2,0.848000
cheby2,q24,DF1,5000,2,0.855000
cheby2,q12,DF1,5000,2,1.053000
cheby2,q24,DF2,5000,2,1.038000
cheby2,q12,DF2,5000,2,1.234000
cheby2,q24,TDF2,5000,2,0.778000
cheby2,q12,TDF2,5000,2,0.846000
cheby2,q24,DF1,1000,4,1.470000
cheby2,q12,DF1,1000,4,2.004000
cheby2,q24,DF2,1000,4,1.873000
cheby2,q12,DF2,1000,4,2.093000
cheby2,q24,TDF2,1000,4,1.345000
cheby2,q12,TDF2,1000,4,1.711000
cheby2,q24,DF1,2000,4,1.468000
cheby2,q12,DF1,2000,4,1.869000
cheby2,q24,DF2,2000,4,1.902000
cheby2,q12,DF2,2000,4,2.109000
cheby2,q24,TDF2,2000,4,1.342000
cheby2,q12,TDF2,2000,4,1.554000
cheby2,q24,DF1,5000,4,1.469000
cheby2,q12,DF1,5000,4,1.870000
cheby2,q24,DF2,5000,4,1.795000
cheby2,q12,DF2,5000,4,2.138000
cheby2,q24,TDF2,5000,4,1.344000
