filter_name,type,structure,cutoff,order,time_seconds
butter,double,DF1,1000,2,0.413000
butter,double,DF2,1000,2,0.414000
butter,double,TDF2,1000,2,0.198000
butter,double,CASCADE,1000,2,0.198000
butter,float,DF1,1000,2,0.381000
butter,float,DF2,1000,2,0.379000
butter,float,TDF2,1000,2,0.183000
butter,float,CASCADE,1000,2,0.183000
butter,double,DF1,2000,2,0.414000
butter,double,DF2,2000,2,0.412000
butter,double,TDF2,2000,2,0.197000
butter,double,CASCADE,2000,2,0.197000
butter,float,DF1,2000,2,0.381000
butter,float,DF2,2000,2,0.377000
butter,float,TDF2,2000,2,0.183000
butter,float,CASCADE,2000,2,0.183000
butter,double,DF1,5000,2,0.420000
butter,double,DF2,5000,2,0.414000
butter,double,TDF2,5000,2,0.202000
butter,double,CASCADE,5000,2,0.202000
butter,float,DF1,5000,2,0.381000
butter,float,DF2,5000,2,0.379000
butter,float,TDF2,5000,2,0.184000
butter,float,CASCADE,5000,2,0.184000
butter,double,DF1,1000,4,0.707000
butter,double,DF2,1000,4,0.740000
butter,double,TDF2,1000,4,0.287000
butter,double,CASCADE,1000,4,0.287000
butter,float,DF1,1000,4,0.693000
butter,float,DF2,1000,4,0.706000
butter,float,TDF2,1000,4,0.328000
butter,float,CASCADE,1000,4,0.328000
butter,double,DF1,2000,4,0.706000
butter,double,DF2,2000,4,0.739000
butter,double,TDF2,2000,4,0.288000
butter,double,CASCADE,2000,4,0.288000
butter,float,DF1,2000,4,0.698000
butter,float,DF2,2000,4,0.707000
butter,float,TDF2,2000,4,0.329000
butter,float,CASCADE,2000,4,0.329000
butter,double,DF1,5000,4,0.742000
butter,double,DF2,5000,4,0.740000
butter,double,TDF2,5000,4,0.287000
butter,double,CASCADE,5000,4,0.287000
butter,float,DF1,5000,4,0.698000
butter,float,DF2,5000,4,0.706000
butter,float,TDF2,5000,4,0.328000
butter,float,CASCADE,5000,4,0.328000
butter,double,DF1,1000,6,1.016000
butter,double,DF2,1000,6,1.118000
butter,double,TDF2,1000,6,0.418000
butter,double,CASCADE,1000,6,0.418000
butter,float,DF1,1000,6,1.008000
butter,float,DF2,1000,6,1.107000
butter,float,TDF2,1000,6,0.459000
butter,float,CASCADE,1000,6,0.459000
butter,double,DF1,2000,6,1.018000
butter,double,DF2,2000,6,1.116000
butter,double,TDF2,2000,6,0.414000
butter,double,CASCADE,2000,6,0.414000
butter,float,DF1,2000,6,1.009000
butter,float,DF2,2000,6,1.108000
butter,float,TDF2,2000,6,0.458000
butter,float,CASCADE,2000,6,0.458000
butter,double,DF1,5000,6,1.021000
butter,double,DF2,5000,6,1.117000
butter,double,TDF2,5000,6,0.415000
butter,double,CASCADE,5000,6,0.415000
butter,float,DF1,5000,6,1.013000
butter,float,DF2,5000,6,1.113000
butter,float,TDF2,5000,6,0.462000
butter,float,CASCADE,5000,6,0.462000
butter,double,DF1,1000,8,1.427000
butter,double,DF2,1000,8,1.540000
butter,double,TDF2,1000,8,0.537000
butter,double,CASCADE,1000,8,0.537000
butter,float,DF1,1000,8,1.376000
butter,float,DF2,1000,8,1.512000
butter,float,TDF2,1000,8,0.640000
butter,float,CASCADE,1000,8,0.640000
butter,double,DF1,2000,8,1.422000
butter,double,DF2,2000,8,1.544000
butter,double,TDF2,2000,8,0.548000
butter,double,CASCADE,2000,8,0.548000
butter,float,DF1,2000,8,1.371000
butter,float,DF2,2000,8,1.512000
butter,float,TDF2,2000,8,0.642000
butter,float,CASCADE,2000,8,0.642000
butter,double,DF1,5000,8,1.427000
butter,double,DF2,5000,8,1.541000
butter,double,TDF2,5000,8,0.542000
butter,double,CASCADE,5000,8,0.542000
butter,float,DF1,5000,8,1.369000
butter,float,DF2,5000,8,1.512000
butter,float,TDF2,5000,8,0.638000
butter,float,CASCADE,5000,8,0.638000
cheby1,double,DF1,1000,2,0.412000
cheby1,double,DF2,1000,2,0.414000
cheby1,double,TDF2,1000,2,0.198000
cheby1,double,CASCADE,1000,2,0.198000
cheby1,float,DF1,1000,2,0.379000
cheby1,float,DF2,1000,2,0.378000
cheby1,float,TDF2,1000,2,0.182000
cheby1,float,CASCADE,1000,2,0.182000
cheby1,double,DF1,2000,2,0.412000
cheby1,double,DF2,2000,2,0.414000
cheby1,double,TDF2,2000,2,0.197000
cheby1,double,CASCADE,2000,2,0.197000
cheby1,float,DF1,2000,2,0.379000
cheby1,float,DF2,2000,2,0.378000
cheby1,float,TDF2,2000,2,0.182000
cheby1,float,CASCADE,2000,2,0.182000
cheby1,double,DF1,5000,2,0.412000
cheby1,double,DF2,5000,2,0.415000
cheby1,double,TDF2,5000,2,0.197000
cheby1,double,CASCADE,5000,2,0.197000
cheby1,float,DF1,5000,2,0.378000
cheby1,float,DF2,5000,2,0.378000
cheby1,float,TDF2,5000,2,0.182000
cheby1,float,CASCADE,5000,2,0.182000
cheby1,double,DF1,1000,4,0.714000
cheby1,double,DF2,1000,4,0.740000
cheby1,double,TDF2,1000,4,0.291000
cheby1,double,CASCADE,1000,4,0.291000
cheby1,float,DF1,1000,4,0.697000
cheby1,float,DF2,1000,4,0.705000
cheby1,float,TDF2,1000,4,0.328000
cheby1,float,CASCADE,1000,4,0.328000
cheby1,double,DF1,2000,4,0.705000
cheby1,double,DF2,2000,4,0.739000
cheby1,double,TDF2,2000,4,0.289000
cheby1,double,CASCADE,2000,4,0.289000
cheby1,float,DF1,2000,4,0.723000
cheby1,float,DF2,2000,4,0.704000
cheby1,float,TDF2,2000,4,0.327000
cheby1,float,CASCADE,2000,4,0.327000
cheby1,double,DF1,5000,4,0.706000
cheby1,double,DF2,5000,4,0.741000
cheby1,double,TDF2,5000,4,0.288000
cheby1,double,CASCADE,5000,4,0.288000
cheby1,float,DF1,5000,4,0.700000
cheby1,float,DF2,5000,4,0.706000
