filter_name,type,structure,cutoff,order,time_seconds
butter,double,DF1,1000,2,0.206702
butter,double,DF2,1000,2,0.183726
butter,double,TDF2,1000,2,0.125130
butter,float,DF1,1000,2,0.205003
butter,float,DF2,1000,2,0.182625
butter,float,TDF2,1000,2,0.123404
butter,double,DF1,2000,2,0.252314
butter,double,DF2,2000,2,0.175792
butter,double,TDF2,2000,2,0.174583
butter,float,DF1,2000,2,0.251313
butter,float,DF2,2000,2,0.177244
butter,float,TDF2,2000,2,0.174609
butter,double,DF1,5000,2,0.198502
butter,double,DF2,5000,2,0.170341
butter,double,TDF2,5000,2,0.137484
butter,float,DF1,5000,2,0.199434
butter,float,DF2,5000,2,0.225869
butter,float,TDF2,5000,2,0.137838
butter,double,DF1,1000,4,0.549324
butter,double,DF2,1000,4,0.325420
butter,double,TDF2,1000,4,0.120650
butter,float,DF1,1000,4,0.548131
butter,float,DF2,1000,4,0.393146
butter,float,TDF2,1000,4,0.121474
butter,double,DF1,2000,4,0.549630
butter,double,DF2,2000,4,0.325455
butter,double,TDF2,2000,4,0.120409
butter,float,DF1,2000,4,0.549707
butter,float,DF2,2000,4,0.386992
butter,float,TDF2,2000,4,0.121734
butter,double,DF1,5000,4,0.547715
butter,double,DF2,5000,4,0.325945
butter,double,TDF2,5000,4,0.121000
butter,float,DF1,5000,4,0.548289
butter,float,DF2,5000,4,0.386959
butter,float,TDF2,5000,4,0.121644
butter,double,DF1,1000,6,0.582213
butter,double,DF2,1000,6,0.420377
butter,double,TDF2,1000,6,0.114333
butter,float,DF1,1000,6,0.571684
butter,float,DF2,1000,6,0.533787
butter,float,TDF2,1000,6,0.115319
butter,double,DF1,2000,6,0.582121
butter,double,DF2,2000,6,0.421290
butter,double,TDF2,2000,6,0.114623
butter,float,DF1,2000,6,0.570997
butter,float,DF2,2000,6,0.534039
butter,float,TDF2,2000,6,0.114308
butter,double,DF1,5000,6,0.583023
butter,double,DF2,5000,6,0.420036
butter,double,TDF2,5000,6,0.114714
butter,float,DF1,5000,6,0.570902
butter,float,DF2,5000,6,0.533243
butter,float,TDF2,5000,6,0.114423
butter,double,DF1,1000,8,0.760316
butter,double,DF2,1000,8,0.518810
butter,double,TDF2,1000,8,0.131675
butter,float,DF1,1000,8,0.751552
butter,float,DF2,1000,8,0.683715
butter,float,TDF2,1000,8,0.129876
butter,double,DF1,2000,8,0.757390
butter,double,DF2,2000,8,0.520744
butter,double,TDF2,2000,8,0.130887
butter,float,DF1,2000,8,0.753835
butter,float,DF2,2000,8,0.682972
butter,float,TDF2,2000,8,0.129566
butter,double,DF1,5000,8,0.759823
butter,double,DF2,5000,8,0.519973
butter,double,TDF2,5000,8,0.131255
butter,float,DF1,5000,8,0.754681
butter,float,DF2,5000,8,0.682997
butter,float,TDF2,5000,8,0.129757
cheby1,double,DF1,1000,2,0.206635
cheby1,double,DF2,1000,2,0.231097
cheby1,double,TDF2,1000,2,0.137806
cheby1,float,DF1,1000,2,0.200554
cheby1,float,DF2,1000,2,0.225267
cheby1,float,TDF2,1000,2,0.137577
cheby1,double,DF1,2000,2,0.213614
cheby1,double,DF2,2000,2,0.231203
cheby1,double,TDF2,2000,2,0.137304
cheby1,float,DF1,2000,2,0.198278
cheby1,float,DF2,2000,2,0.226935
cheby1,float,TDF2,2000,2,0.137191
cheby1,double,DF1,5000,2,0.206694
cheby1,double,DF2,5000,2,0.231877
cheby1,double,TDF2,5000,2,0.137694
cheby1,float,DF1,5000,2,0.199139
cheby1,float,DF2,5000,2,0.225819
cheby1,float,TDF2,5000,2,0.137331
cheby1,double,DF1,1000,4,0.380352
cheby1,double,DF2,1000,4,0.325045
cheby1,double,TDF2,1000,4,0.120648
cheby1,float,DF1,1000,4,0.382582
cheby1,float,DF2,1000,4,0.387807
cheby1,float,TDF2,1000,4,0.121191
cheby1,double,DF1,2000,4,0.380856
cheby1,double,DF2,2000,4,0.325605
cheby1,double,TDF2,2000,4,0.121179
cheby1,float,DF1,2000,4,0.386232
cheby1,float,DF2,2000,4,0.387050
cheby1,float,TDF2,2000,4,0.121148
cheby1,double,DF1,5000,4,0.381015
cheby1,double,DF2,5000,4,0.326293
cheby1,double,TDF2,5000,4,0.121628
cheby1,float,DF1,5000,4,0.382116
cheby1,float,DF2,5000,4,0.388049
cheby1,float,TDF2,5000,4,0.121341
cheby1,double,DF1,1000,6,0.581831
cheby1,double,DF2,1000,6,0.422314
cheby1,double,TDF2,1000,6,0.114988
cheby1,float,DF1,1000,6,0.571612
cheby1,float,DF2,1000,6,0.533949
cheby1,float,TDF2,1000,6,0.114480
cheby1,double,DF1,2000,6,0.581366
cheby1,double,DF2,2000,6,0.420515
cheby1,double,TDF2,2000,6,0.115046
cheby1,float,DF1,2000,6,0.572734
cheby1,float,DF2,2000,6,0.532736
cheby1,float,TDF2,2000,6,0.114016
cheby1,double,DF1,5000,6,0.582831
cheby1,double,DF2,5000,6,0.422063
cheby1,double,TDF2,5000,6,0.115507
cheby1,float,DF1,5000,6,0.570435
cheby1,float,DF2,5000,6,0.533098
cheby1,float,TDF2,5000,6,0.114536
cheby1,double,DF1,1000,8,0.761112
cheby1,double,DF2,1000,8,0.521942
cheby1,double,TDF2,1000,8,0.131154
cheby1,float,DF1,1000,8,0.753254
cheby1,float,DF2,1000,8,0.681967
cheby1,float,TDF2,1000,8,0.130403
cheby1,double,DF1,2000,8,0.760449
cheby1,double,DF2,2000,8,0.520082
cheby1,double,TDF2,2000,8,0.130535
cheby1,float,DF1,2000,8,0.753735
cheby1,float,DF2,2000,8,0.683912
cheby1,float,TDF2,2000,8,0.129670
cheby1,double,DF1,5000,8,0.761287
cheby1,double,DF2,5000,8,0.521147
cheby1,double,TDF2,5000,8,0.131927
cheby1,float,DF1,5000,8,0.753702
cheby1,float,DF2,5000,8,0.683768
cheby1,float,TDF2,5000,8,0.131488
cheby2,double,DF1,1000,2,0.206758
cheby2,double,DF2,1000,2,0.233925
cheby2,double,TDF2,1000,2,0.137481
cheby2,float,DF1,1000,2,0.201299
cheby2,float,DF2,1000,2,0.225089
cheby2,float,TDF2,1000,2,0.137161
cheby2,double,DF1,2000,2,0.207035
cheby2,double,DF2,2000,2,0.231025
cheby2,double,TDF2,2000,2,0.138042
cheby2,float,DF1,2000,2,0.200279
cheby2,float,DF2,2000,2,0.225428
cheby2,float,TDF2,2000,2,0.137526
cheby2,double,DF1,5000,2,0.206942
cheby2,double,DF2,5000,2,0.232368
cheby2,double,TDF2,5000,2,0.138895
cheby2,float,DF1,5000,2,0.198722
cheby2,float,DF2,5000,2,0.224960
cheby2,float,TDF2,5000,2,0.136933
cheby2,double,DF1,1000,4,0.380144
cheby2,double,DF2,1000,4,0.326093
cheby2,double,TDF2,1000,4,0.120629
cheby2,float,DF1,1000,4,0.382133
cheby2,float,DF2,1000,4,0.386976
cheby2,float,TDF2,1000,4,0.121080
cheby2,double,DF1,2000,4,0.380172
cheby2,double,DF2,2000,4,0.326451
cheby2,double,TDF2,2000,4,0.120821
cheby2,float,DF1,2000,4,0.381986
cheby2,float,DF2,2000,4,0.386674
cheby2,float,TDF2,2000,4,0.121304
cheby2,double,DF1,5000,4,0.381228
cheby2,double,DF2,5000,4,0.325574
cheby2,double,TDF2,5000,4,0.121481
cheby2,float,DF1,5000,4,0.382239
cheby2,float,DF2,5000,4,0.387045
cheby2,float,TDF2,5000,4,0.121743
cheby2,double,DF1,1000,6,0.583926
cheby2,double,DF2,1000,6,0.421354
cheby2,double,TDF2,1000,6,0.115818
cheby2,float,DF1,1000,6,0.571871
cheby2,float,DF2,1000,6,0.533920
cheby2,float,TDF2,1000,6,0.114086
cheby2,double,DF1,2000,6,0.582578
cheby2,double,DF2,2000,6,0.421854
cheby2,double,TDF2,2000,6,0.114942
cheby2,float,DF1,2000,6,0.571676
cheby2,float,DF2,2000,6,0.535292
cheby2,float,TDF2,2000,6,0.114829
cheby2,double,DF1,5000,6,0.581895
cheby2,double,DF2,5000,6,0.421010
cheby2,double,TDF2,5000,6,0.116248
cheby2,float,DF1,5000,6,0.572592
cheby2,float,DF2,5000,6,0.532707
cheby2,float,TDF2,5000,6,0.114924
cheby2,double,DF1,1000,8,0.759622
cheby2,double,DF2,1000,8,0.520957
cheby2,double,TDF2,1000,8,0.131046
cheby2,float,DF1,1000,8,0.754830
cheby2,float,DF2,1000,8,0.694100
cheby2,float,TDF2,1000,8,0.129550
cheby2,double,DF1,2000,8,0.760468
cheby2,double,DF2,2000,8,0.520383
cheby2,double,TDF2,2000,8,0.131074
cheby2,float,DF1,2000,8,0.755197
cheby2,float,DF2,2000,8,0.682913
cheby2,float,TDF2,2000,8,0.129571
cheby2,double,DF1,5000,8,0.760819
cheby2,double,DF2,5000,8,0.520148
cheby2,double,TDF2,5000,8,0.131563
cheby2,float,DF1,5000,8,0.753554
cheby2,float,DF2,5000,8,0.683479
cheby2,float,TDF2,5000,8,0.129495
ellip,double,DF1,1000,2,0.206129
ellip,double,DF2,1000,2,0.231410
ellip,double,TDF2,1000,2,0.137600
ellip,float,DF1,1000,2,0.198438
ellip,float,DF2,1000,2,0.225324
ellip,float,TDF2,1000,2,0.137657
ellip,double,DF1,2000,2,0.205989
ellip,double,DF2,2000,2,0.230933
ellip,double,TDF2,2000,2,0.137304
ellip,float,DF1,2000,2,0.200336
ellip,float,DF2,2000,2,0.224956
ellip,float,TDF2,2000,2,0.137917
ellip,double,DF1,5000,2,0.206243
ellip,double,DF2,5000,2,0.231494
ellip,double,TDF2,5000,2,0.137289
ellip,float,DF1,5000,2,0.198916
ellip,float,DF2,5000,2,0.224405
ellip,float,TDF2,5000,2,0.137329
ellip,double,DF1,1000,4,0.379671
ellip,double,DF2,1000,4,0.325189
ellip,double,TDF2,1000,4,0.121673
ellip,float,DF1,1000,4,0.383665
ellip,float,DF2,1000,4,0.388534
