filter_name,order,cutoff,type,structure,time_seconds
butter,2,1000,float64,DF1,5.372365
butter,2,1000,float64,DF1,5.326256
butter,2,1000,float64,DF1,5.32659
butter,2,1000,float64,DF1,5.425884
butter,2,1000,float64,DF1,5.342678
butter,2,1000,float64,DF1,5.343768
butter,2,1000,float64,DF1,5.390177
butter,2,1000,float64,DF1,5.392948
butter,2,1000,float64,DF1,5.315292
butter,2,1000,float64,DF1,5.311704
butter,2,1000,float64,DF1,5.311558
butter,2,1000,float64,DF1,5.330273
butter,2,1000,float64,DF1,5.35563
butter,2,1000,float64,DF1,5.319208
butter,2,1000,float64,DF1,5.322949
butter,2,1000,float64,DF1,5.318419
butter,2,1000,float64,DF1,5.3029
butter,2,1000,float64,DF1,5.381903
butter,2,1000,float64,DF1,5.313092
butter,2,1000,float64,DF1,5.31488
butter,2,1000,float64,DF2,5.580237
butter,2,1000,float64,DF2,5.60009
butter,2,1000,float64,DF2,5.595623
butter,2,1000,float64,DF2,5.66991
butter,2,1000,float64,DF2,5.580765
butter,2,1000,float64,DF2,5.58807
butter,2,1000,float64,DF2,5.577204
butter,2,1000,float64,DF2,5.587046
butter,2,1000,float64,DF2,5.645597
butter,2,1000,float64,DF2,5.589284
butter,2,1000,float64,DF2,5.588343
butter,2,1000,float64,DF2,5.587237
butter,2,1000,float64,DF2,5.588032
butter,2,1000,float64,DF2,5.686675
butter,2,1000,float64,DF2,5.582293
butter,2,1000,float64,DF2,5.5948
butter,2,1000,float64,DF2,5.589157
butter,2,1000,float64,DF2,5.597949
butter,2,1000,float64,DF2,5.596577
butter,2,1000,float64,DF2,5.651123
butter,2,1000,float64,TDF2,2.926854
butter,2,1000,float64,TDF2,2.934682
butter,2,1000,float64,TDF2,2.925956
butter,2,1000,float64,TDF2,2.928974
butter,2,1000,float64,TDF2,2.924962
butter,2,1000,float64,TDF2,2.929744
butter,2,1000,float64,TDF2,2.924714
butter,2,1000,float64,TDF2,2.937669
butter,2,1000,float64,TDF2,3.041387
butter,2,1000,float64,TDF2,2.941887
butter,2,1000,float64,TDF2,2.925619
butter,2,1000,float64,TDF2,2.929623
butter,2,1000,float64,TDF2,2.930206
